MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,KONSTELEC,KONSTELEC ENGINEERS LTD,        63.25,        67.55,        67.55,        64.95,        66.60,                   330800.00,5000, ,       184.90,        57.00
N,SM,KONTOR,KONTOR SPACE LIMITED,        67.25,        68.80,        68.95,        65.50,        68.90,                   324450.00,4800, ,       167.50,        58.40
N,SM,KORE,JAY JALARAM TECHNO LTD,       168.55,       176.95,       176.95,       161.30,       164.55,                  1184737.50,7250, ,       550.00,       110.20
N,SM,KRISHCA,KRISHCA STRAPPING SLTN L,       202.25,       202.00,       203.00,       201.00,       203.00,                  1516000.00,7500, ,       403.80,       196.05
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,       809.65,       807.60,       807.60,       770.00,       780.90,                 11075050.00,14000, ,      1027.50,       503.00
N,SM,LAKSHYA,LAKSHYA POWERTECH LIMITED,       127.05,       127.00,       128.00,       124.00,       127.95,                  1516400.00,12000, ,       376.95,       124.00
N,SM,LAMOSAIC,LAMOSAIC INDIA LIMITED,        39.00,        39.80,        39.80,        38.15,        38.65,                   580140.00,15000, ,       172.20,        34.00
N,SM,LAWSIKHO,ADDICTIVE LEARNING TECH L,       145.15,       147.60,       151.70,       145.50,       145.50,                   954375.00,6500, ,       448.50,       125.60
N,SM,LEMERITE,LE MERITE EXPORTS LIMITED,       430.85,       444.50,       444.50,       432.25,       437.00,                 13043960.00,30000, ,       444.50,       184.60
N,SM,LLOYDS,LLOYDS LUXURIES LIMITED,        80.00,        79.00,        80.00,        79.00,        80.00,                   239000.00,3000, ,       125.75,        64.00
N,SM,MACOBSTECH,MACOBS TECHNOLOGIES LTD,       206.00,       204.00,       208.95,       203.00,       203.00,                  4122360.00,20000, ,       214.50,       117.50
N,SM,MADHUSUDAN,MADHUSUDAN MASALA LIMITED,       142.65,       138.00,       138.00,       138.00,       138.00,                   138000.00,1000, ,       229.00,       130.00
N,SM,MAGSON,MAGSON RETAIL AND DIST L,       109.25,       108.00,       108.00,       108.00,       108.00,                   108000.00,1000, ,       166.10,        75.50
N,SM,MAITREYA,MAITREYA MEDICARE LIMITED,       247.95,       240.10,       240.10,       228.00,       229.20,                  1960960.00,8400, ,       400.00,       214.45
