Sectoral Index,Symbol,Spot,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost,M_o_M%,Next_M_o_M%
NIFTY PSE,IREDA,141.36,142.07,0.71,90.56,87.51,0.58,0.01,3.05,0.57,-6.67,0
NIFTY PSE,IRFC,116.74,117.35,0.61,90.90,89.27,0.68,0.40,1.63,0.27,-4.91,0
NIFTY PSE,NBCC,117.59,118.40,0.81,97.47,92.75,0.72,0.59,4.72,0.13,6.60,0
NIFTY PSU Bank,BANKBARODA,287.25,288.55,1.30,93.03,90.34,0.59,0.55,2.68,0.04,3.72,0
NIFTY PSU Bank,BANKINDIA,147.21,148.23,1.02,95.48,95.47,0.68,0.65,0.02,0.03,4.34,0
NIFTY PSU Bank,CANBK,148.69,149.34,0.65,90.85,91.80,0.49,0.55,-0.95,-0.06,14.39,0
NIFTY PSU Bank,INDIANB,873.10,876.40,3.30,88.78,90.62,0.48,-0.09,-1.84,0.57,2.37,0
NIFTY PSU Bank,PNB,123.05,123.66,0.61,89.32,93.06,0.58,0.59,-3.74,-0.01,1.59,0
NIFTY PSU Bank,SBIN,983.60,988.45,4.85,89.65,91.13,0.71,0.63,-1.48,0.08,5.74,0
NIFTY PSU Bank,UNIONBANK,152.85,153.85,1.00,97.09,91.66,0.57,0.63,5.42,-0.06,3.93,0
NIFTY Pharma,ALKEM,5701.00,5729.50,28.50,97.07,93.85,0.59,0.22,3.22,0.37,4.95,0
NIFTY Pharma,AUROPHARMA,1208.00,1215.70,7.70,95.98,96.05,0.74,0.61,-0.07,0.13,9.88,0
NIFTY Pharma,BIOCON,393.25,395.50,2.25,79.38,92.88,0.60,0.66,-13.49,-0.06,7.52,0
NIFTY Pharma,CIPLA,1507.50,1516.00,8.50,95.03,95.34,0.64,0.38,-0.31,0.26,-3.86,0
NIFTY Pharma,DIVISLAB,6412.00,6453.50,41.50,90.17,94.62,0.72,0.47,-4.46,0.25,-0.41,0
NIFTY Pharma,DRREDDY,1236.10,1240.90,4.80,88.57,87.83,0.64,0.14,0.75,0.50,-4.13,0
NIFTY Pharma,GLENMARK,1881.50,1891.70,10.20,97.52,94.24,0.74,0.60,3.28,0.14,3.66,0
NIFTY Pharma,LAURUSLABS,977.55,982.60,5.05,90.29,89.87,0.77,0.55,0.42,0.22,1.87,0
NIFTY Pharma,LUPIN,2042.30,2055.10,12.80,95.40,94.22,0.67,0.55,1.18,0.12,6.44,0
NIFTY Pharma,MANKIND,2241.90,2251.10,9.20,92.33,93.67,0.66,0.44,-1.34,0.22,-6.84,0
NIFTY Pharma,PPLPHARMA,184.87,185.40,0.53,94.88,88.66,0.36,0.54,6.22,-0.18,-8.53,0
NIFTY Pharma,SUNPHARMA,1776.80,1783.80,7.00,93.46,91.98,0.59,0.43,1.48,0.16,5.32,0
